code,municipio.x,depto,part,part_18,Gustavo Petro_22,Rodolfo Hernández_22,Federico Gutiérrez_22,Sergio Fajardo_22,John Milton Rodríguez_22,Enrique Gómez Martínez_22,Luis Pérez_22,Gustavo Petro_18,Iván Duque_18,Sergio Fajardo_18,Germán Vargas Lleras_18,Humberto De La Calle_18,Jorge Antonio Trujillo_18,Viviane Morales_18,dif_part,codigo_municipio,municipio.y,codigo_departamento,departamento,pdet,statecap,gini,IPM,pib_percapita_mill,g_terreno,capital,l_31_82,c_31_82,pob_total_2018,porc_rural_2018,p_petro_2022,p_hernandez_2022,p_gutierrez_2022,...1,Gustavo Petro_18_pc,Iván Duque_18_pc,Sergio Fajardo_18_pc,Germán Vargas Lleras_18_pc,Humberto De La Calle_18_pc,Jorge Antonio Trujillo_18_pc,Viviane Morales_18_pc,Gustavo Petro_22_pc,Rodolfo Hernández_22_pc,Federico Gutiérrez_22_pc,Sergio Fajardo_22_pc,John Milton Rodríguez_22_pc,Enrique Gómez Martínez_22_pc,Luis Pérez_22_pc,gana_petro2,max_pc_18,gana_petro18,max_pc_22,gana_petro22,ganaPetro2,part_crecio_above_average,diff_petro_rodolfo,diff_petro_rodolfo_abs
44378,Hatonuevo,La Guajira,41.91,41.8,4533,748,813,63,81,19,2,3736,1554,208,383,77,22,18,0.10999999999999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648,61.4,25.6,3.4,6.3,1.3,0.4,0.3,71.4,11.8,12.8,1,1.3,0.3,0,1,61.4,1,71.4,1,1,0,59.60000000000001,59.60000000000001
44560,Manaure,La Guajira,14.65,18.9,4330,1215,2296,167,112,77,2,3796,3725,290,1702,258,46,34,-4.249999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,38.1,37.4,2.9,17.1,2.6,0.5,0.3,51.8,14.5,27.5,2,1.3,0.9,0,1,38.1,1,51.8,1,1,0,37.3,37.3
47001,Santa Marta,Magdalena,51.33,50.3,98550,36985,43591,5107,3442,372,76,64621,62873,21653,12160,2709,743,294,1.0300000000000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656,38.4,37.4,12.9,7.2,1.6,0.4,0.2,51.4,19.3,22.7,2.7,1.8,0.2,0,1,38.4,1,51.4,1,1,0,32.099999999999994,32.099999999999994
47030,Algarrobo,Magdalena,48.28,51.3,3513,429,871,52,42,13,1,2896,1154,98,656,62,27,59,-3.019999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657,57.7,23,2,13.1,1.2,0.5,1.2,70.6,8.6,17.5,1,0.8,0.3,0,1,57.7,1,70.6,1,1,0,61.99999999999999,61.99999999999999
47268,El Retén,Magdalena,44.07,43.5,4503,565,1495,68,72,8,3,2714,1640,106,1171,74,47,13,0.5700000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,666,46.4,28,1.8,20,1.3,0.8,0.2,65.9,8.3,21.9,1,1,0.1,0,1,46.4,1,65.9,1,1,0,57.60000000000001,57.60000000000001
47551,Pivijay,Magdalena,40.39,40.5,7158,1098,3193,140,285,28,24,4100,2966,231,3903,139,47,42,-0.10999999999999943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,672,35.5,25.7,2,33.8,1.2,0.4,0.4,59.2,9.1,26.4,1.1,2.4,0.2,0.2,1,35.5,1,59.2,1,1,0,50.1,50.1
47555,Plato,Magdalena,42.8,44.6,9574,2306,5388,218,180,31,3,6492,6371,343,3756,261,64,51,-1.8000000000000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673,37,36.3,2,21.4,1.5,0.4,0.3,53.4,12.9,30,1.2,1,0.2,0,1,37,1,53.4,1,1,0,40.5,40.5
47720,Santa Bárbara de Pinto,Magdalena,45.01,44.3,2162,256,1490,30,14,2,1,1385,1043,47,1045,34,7,5,0.7100000000000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681,38.6,29.1,1.3,29.1,0.9,0.2,0.1,54.2,6.4,37.4,0.8,0.3,0,0,1,38.6,1,54.2,1,1,0,47.800000000000004,47.800000000000004
47980,Zona Bananera,Magdalena,40.41,38.6,12521,1718,3615,283,590,40,15,7971,4915,418,2757,135,83,46,1.8099999999999952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685,48.1,29.7,2.5,16.6,0.8,0.5,0.3,65.4,9,18.9,1.5,3.1,0.2,0.1,1,48.1,1,65.4,1,1,0,56.400000000000006,56.400000000000006
50370,Uribe,Meta,56.5,55.4,2970,408,90,28,32,1,0,2155,239,178,42,54,7,6,1.1000000000000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701,78.7,8.7,6.5,1.5,2,0.3,0.2,82.8,11.4,2.5,0.8,0.9,0,0,1,78.7,1,82.8,1,1,0,71.39999999999999,71.39999999999999
